player,team,pos,pos_rank,points,mine
Jayden Higgins,HOU,WR,200,0,FALSE
Ricky White III,SEA,WR,201,0,FALSE
Arian Smith,NYJ,WR,202,0,FALSE
Jordan Watkins,SF,WR,203,0,FALSE
Beaux Collins,NYG,WR,204,0,FALSE
Jordan Moore,CIN,WR,205,0,FALSE
Dalevon Campbell,LAC,WR,206,0,FALSE
Darius Cooper,PHI,WR,207,0,FALSE
Jackson Meeks,DET,WR,208,0,FALSE
Myles Price,MIN,WR,209,0,FALSE
Chris Brazzell,CAR,WR,210,0,FALSE
Kaden Wetjen,PIT,WR,211,0,FALSE
